Epoka [1/200] | Batch [1/6813] | Loss: 0.4849
Epoka [1/200] | Batch [11/6813] | Loss: 0.5764
Epoka [1/200] | Batch [21/6813] | Loss: 0.5120
Epoka [1/200] | Batch [31/6813] | Loss: 0.3690
Epoka [1/200] | Batch [41/6813] | Loss: 0.5193
Epoka [1/200] | Batch [51/6813] | Loss: 0.3165
Epoka [1/200] | Batch [61/6813] | Loss: 0.4294
Epoka [1/200] | Batch [71/6813] | Loss: 0.3829
Epoka [1/200] | Batch [81/6813] | Loss: 0.3076
Epoka [1/200] | Batch [91/6813] | Loss: 0.2254
Epoka [1/200] | Batch [101/6813] | Loss: 0.1765
Epoka [1/200] | Batch [111/6813] | Loss: 0.3439
Epoka [1/200] | Batch [121/6813] | Loss: 0.5646
Epoka [1/200] | Batch [131/6813] | Loss: 0.3757
Epoka [1/200] | Batch [141/6813] | Loss: 0.4310
Epoka [1/200] | Batch [151/6813] | Loss: 0.5198
Epoka [1/200] | Batch [161/6813] | Loss: 0.5445
Epoka [1/200] | Batch [171/6813] | Loss: 0.5187
Epoka [1/200] | Batch [181/6813] | Loss: 0.2314
Epoka [1/200] | Batch [191/6813] | Loss: 0.6699
Epoka [1/200] | Batch [201/6813] | Loss: 0.3383
Epoka [1/200] | Batch [211/6813] | Loss: 0.4777
Epoka [1/200] | Batch [221/6813] | Loss: 0.1235
Epoka [1/200] | Batch [231/6813] | Loss: 0.2100
Epoka [1/200] | Batch [241/6813] | Loss: 0.4383
Epoka [1/200] | Batch [251/6813] | Loss: 0.4543
Epoka [1/200] | Batch [261/6813] | Loss: 0.7570
Epoka [1/200] | Batch [271/6813] | Loss: 0.3243
Epoka [1/200] | Batch [281/6813] | Loss: 0.4093
Epoka [1/200] | Batch [291/6813] | Loss: 0.4557
Epoka [1/200] | Batch [301/6813] | Loss: 0.3655
Epoka [1/200] | Batch [311/6813] | Loss: 0.4334
Epoka [1/200] | Batch [321/6813] | Loss: 0.2008
Epoka [1/200] | Batch [331/6813] | Loss: 0.3380
Epoka [1/200] | Batch [341/6813] | Loss: 0.4064
Epoka [1/200] | Batch [351/6813] | Loss: 0.3331
Epoka [1/200] | Batch [361/6813] | Loss: 0.1157
Epoka [1/200] | Batch [371/6813] | Loss: 0.5385
Epoka [1/200] | Batch [381/6813] | Loss: 0.4989
Epoka [1/200] | Batch [391/6813] | Loss: 0.4434
Epoka [1/200] | Batch [401/6813] | Loss: 0.4047
Epoka [1/200] | Batch [411/6813] | Loss: 0.5456
Epoka [1/200] | Batch [421/6813] | Loss: 0.2238
Epoka [1/200] | Batch [431/6813] | Loss: 0.3094
Epoka [1/200] | Batch [441/6813] | Loss: 0.4120
Epoka [1/200] | Batch [451/6813] | Loss: 0.1932
Epoka [1/200] | Batch [461/6813] | Loss: 0.2125
Epoka [1/200] | Batch [471/6813] | Loss: 0.2563
Epoka [1/200] | Batch [481/6813] | Loss: 0.2324
Epoka [1/200] | Batch [491/6813] | Loss: 0.2157
Epoka [1/200] | Batch [501/6813] | Loss: 0.1835
Epoka [1/200] | Batch [511/6813] | Loss: 0.4182
Epoka [1/200] | Batch [521/6813] | Loss: 0.4955
Epoka [1/200] | Batch [531/6813] | Loss: 0.2920
Epoka [1/200] | Batch [541/6813] | Loss: 0.2827
Epoka [1/200] | Batch [551/6813] | Loss: 0.4832
Epoka [1/200] | Batch [561/6813] | Loss: 0.2213
Epoka [1/200] | Batch [571/6813] | Loss: 0.3061
Epoka [1/200] | Batch [581/6813] | Loss: 0.6120
Epoka [1/200] | Batch [591/6813] | Loss: 0.2016
Epoka [1/200] | Batch [601/6813] | Loss: 0.1912
Epoka [1/200] | Batch [611/6813] | Loss: 0.3679
Epoka [1/200] | Batch [621/6813] | Loss: 0.6357
Epoka [1/200] | Batch [631/6813] | Loss: 0.3970
Epoka [1/200] | Batch [641/6813] | Loss: 0.4917
Epoka [1/200] | Batch [651/6813] | Loss: 0.3274
Epoka [1/200] | Batch [661/6813] | Loss: 0.1790
Epoka [1/200] | Batch [671/6813] | Loss: 0.3965
Epoka [1/200] | Batch [681/6813] | Loss: 0.4732
Epoka [1/200] | Batch [691/6813] | Loss: 0.3061
Epoka [1/200] | Batch [701/6813] | Loss: 0.4182
Epoka [1/200] | Batch [711/6813] | Loss: 0.4070
Epoka [1/200] | Batch [721/6813] | Loss: 0.4028
Epoka [1/200] | Batch [731/6813] | Loss: 0.1354
Epoka [1/200] | Batch [741/6813] | Loss: 0.3356
Epoka [1/200] | Batch [751/6813] | Loss: 0.4653
Epoka [1/200] | Batch [761/6813] | Loss: 0.3522
Epoka [1/200] | Batch [771/6813] | Loss: 0.2942
Epoka [1/200] | Batch [781/6813] | Loss: 0.1519
Epoka [1/200] | Batch [791/6813] | Loss: 0.2710
Epoka [1/200] | Batch [801/6813] | Loss: 0.4184
Epoka [1/200] | Batch [811/6813] | Loss: 0.3585
Epoka [1/200] | Batch [821/6813] | Loss: 0.5157
Epoka [1/200] | Batch [831/6813] | Loss: 0.2205
Epoka [1/200] | Batch [841/6813] | Loss: 0.1891
Epoka [1/200] | Batch [851/6813] | Loss: 0.3464
Epoka [1/200] | Batch [861/6813] | Loss: 0.1654
Epoka [1/200] | Batch [871/6813] | Loss: 0.2471
Epoka [1/200] | Batch [881/6813] | Loss: 0.4033
Epoka [1/200] | Batch [891/6813] | Loss: 0.4655
Epoka [1/200] | Batch [901/6813] | Loss: 0.3486
Epoka [1/200] | Batch [911/6813] | Loss: 0.2340
Epoka [1/200] | Batch [921/6813] | Loss: 0.2835
Epoka [1/200] | Batch [931/6813] | Loss: 0.3897
Epoka [1/200] | Batch [941/6813] | Loss: 0.2899
Epoka [1/200] | Batch [951/6813] | Loss: 0.2966
Epoka [1/200] | Batch [961/6813] | Loss: 0.4306
Epoka [1/200] | Batch [971/6813] | Loss: 0.2326
Epoka [1/200] | Batch [981/6813] | Loss: 0.1780
Epoka [1/200] | Batch [991/6813] | Loss: 0.2620
Epoka [1/200] | Batch [1001/6813] | Loss: 0.2465
Epoka [1/200] | Batch [1011/6813] | Loss: 0.5295
Epoka [1/200] | Batch [1021/6813] | Loss: 0.5742
Epoka [1/200] | Batch [1031/6813] | Loss: 0.4607
Epoka [1/200] | Batch [1041/6813] | Loss: 0.2640
Epoka [1/200] | Batch [1051/6813] | Loss: 0.4763
Epoka [1/200] | Batch [1061/6813] | Loss: 0.5157
Epoka [1/200] | Batch [1071/6813] | Loss: 0.3490
Epoka [1/200] | Batch [1081/6813] | Loss: 0.2776
Epoka [1/200] | Batch [1091/6813] | Loss: 0.3663
